team,conference,total_videos,total_views,total_likes,total_comments,total_engagements,weighted_engagement_rate,avg_views_per_day,avg_comment_sentiment,avg_positive_comment_pct,avg_negative_comment_pct
San Antonio Spurs,West,20,968253,24285,944,25229,0.0261,48412.65,0.3013,0.3528,0.1512
New York Knicks,East,20,522137,19053,860,19913,0.0381,12394.14,0.2251,0.328,0.1071
Los Angeles Lakers,West,20,450322,12055,1038,13093,0.0291,3775.65,0.3057,0.4566,0.1412
Denver Nuggets,West,20,374935,11022,576,11598,0.0309,1252.37,0.3759,0.4174,0.1429
Oklahoma City Thunder,West,20,242575,0,2060,2060,0.0085,2455.02,0.6757,0.5697,0.1607
Orlando Magic,East,20,177185,3484,258,3742,0.0211,878.14,0.3075,0.4288,0.1689
Philadelphia 76ers,East,20,156063,6195,635,6830,0.0438,540.22,0.3676,0.4084,0.1779
Minnesota Timberwolves,West,20,146456,9584,413,9997,0.0683,5509.4,0.3256,0.4375,0.114
Toronto Raptors,East,20,120064,3950,391,4341,0.0362,280.67,0.49,0.5094,0.1259
Houston Rockets,West,20,110469,5574,513,6087,0.0551,996.78,0.1342,0.3604,0.25
Cleveland Cavaliers,East,20,87314,4091,964,5055,0.0579,341.57,0.2872,0.4989,0.306
Boston Celtics,East,20,84903,6812,290,7102,0.0836,1338.54,0.2356,0.3732,0.1732
Atlanta Hawks,East,20,68738,2027,390,2417,0.0352,227.61,0.3685,0.4564,0.1018
Phoenix Suns,West,20,64088,2412,208,2620,0.0409,523.15,0.2471,0.3694,0.1383
Detroit Pistons,East,20,51126,4274,206,4480,0.0876,622.83,0.2788,0.3656,0.0974
Portland Trail Blazers,West,20,38170,1744,155,1899,0.0498,254.45,0.458,0.5492,0.1648
